ID Policijska uprava;Policijska uprava;Godina;Broj testiranih vozača;% vozača pod uticajem alkohola RADNIM DANIMA;% vozača pod uticajem alkohola VIKENDOM;% vozača pod uticajem alkohola DANJU;% vozača pod uticajem alkohola NOĆU;% vozača pod uticajem alkohola U NASELJU;% vozača pod uticajem alkohola VAN NASELJA;% vozača pod uticajem alkohola UKUPNO;Klasa NASELJE;Klasa VAN NASELJA;Klasa UKUPNO
11;Smederevo;2016;1156;0.81;0.48;0.18;1.19;0.72;0.67;0.69;5;5;5
12;Požarevac;2016;968;1.11;1.19;0.92;1.42;0.90;1.33;1.14;5;5;5
13;Valjevo;2016;1388;0.67;1.01;0.58;1.00;0.45;1.11;0.79;5;5;5
14;Šabac;2016;1165;0.00;0.22;0.00;0.18;0.17;0.00;0.09;3;1;2
15;Kraljevo;2016;1890;0.90;0.26;0.38;0.97;1.02;0.30;0.63;5;4;5
16;Kruševac;2016;480;0.83;0.00;0.00;0.83;0.00;1.54;0.83;1;5;5
17;Čačak;2016;248;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;1
18;Novi Pazar;2016;1512;0.44;0.49;0.34;0.63;0.39;0.54;0.46;5;5;5
19;Užice;2016;2644;0.30;0.52;0.06;0.85;0.56;0.16;0.38;5;3;5
20;Prijepolje;2016;1690;0.73;0.17;0.25;1.22;0.60;0.47;0.53;5;5;5
22;Novi Sad;2016;1430;0.85;0.83;0.26;1.52;0.67;1.03;0.84;5;5;5
23;Zrenjanin;2016;1201;0.53;0.00;0.33;0.33;0.33;0.33;0.33;4;4;4
24;Kikinda;2016;969;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;1
25;Pančevo;2016;2247;0.81;0.89;0.41;1.68;1.06;0.63;0.85;5;5;5
26;Sombor;2016;1829;0.87;1.03;0.73;1.36;0.72;1.17;0.93;5;5;5
27;Subotica;2016;1160;0.85;1.11;1.00;0.89;0.88;1.01;0.95;5;5;5
28;Sremska Mitrovica;2016;1286;1.23;1.05;0.41;2.15;0.91;1.44;1.17;5;5;5
100;Srbija;2016;38342;0.72;0.69;0.46;1.05;0.67;0.75;0.71;5;5;5
1;Beograd;2017;4496;0.63;0.79;0.48;0.96;0.79;0.61;0.69;5;5;5
10;Bor;2017;924;0.56;0.25;0.33;0.62;0.74;0.00;0.43;5;1;5
17;Čačak;2017;1324;0.22;0.00;0.00;0.32;0.15;0.16;0.15;3;3;3
3;Jagodina;2017;1083;0.44;1.25;0.67;0.83;0.59;0.87;0.74;5;5;5
24;Kikinda;2017;941;0.00;0.29;0.17;0.00;0.00;0.20;0.11;1;3;2
2;Kragujevac;2017;2123;0.30;0.25;0.07;0.66;0.26;0.31;0.28;4;4;4
15;Kraljevo;2017;2092;0.58;0.70;0.17;1.21;0.52;0.71;0.62;5;5;5
16;Kruševac;2017;1296;1.09;0.43;0.67;1.09;0.59;1.13;0.85;5;5;5
7;Leskovac;2017;1821;0.27;0.43;0.42;0.16;0.44;0.22;0.33;5;3;4
4;Niš;2017;1156;0.83;1.38;0.16;2.07;1.37;0.70;1.04;5;5;5
18;Novi Pazar;2017;1352;0.34;0.21;0.13;0.52;0.15;0.45;0.30;3;5;4
22;Novi Sad;2017;1817;0.58;0.99;0.59;0.88;0.90;0.54;0.72;5;5;5
25;Pančevo;2017;2444;0.62;0.61;0.38;1.06;0.75;0.45;0.61;5;5;5
5;Pirot;2017;1008;0.00;1.25;0.78;0.00;0.34;0.72;0.50;4;5;5
12;Požarevac;2017;1080;0.59;1.00;0.48;1.11;0.58;0.88;0.74;5;5;5
20;Prijepolje;2017;2290;0.42;0.11;0.25;0.37;0.44;0.17;0.31;5;3;4
11;Smederevo;2017;1164;0.56;1.33;0.50;1.24;1.02;0.70;0.86;5;5;5
